,heat setpoint,cool setpoint,temperature,ppd
2017-01-01 00:00:00,19.0,29.0,16.67278686562175,69.76555032475069
2017-01-01 00:20:00,20.0,30.0,17.05983021718409,63.71885322866301
2017-01-01 00:40:00,20.0,30.0,16.15450384164438,60.66925364188607
2017-01-01 01:00:00,20.0,30.0,17.13935560805047,68.56167076581943
2017-01-01 01:20:00,21.0,31.0,17.19744183833809,58.95062147738347
2017-01-01 01:40:00,22.0,32.0,16.38599939113639,58.72047656841815
2017-01-01 02:00:00,21.0,31.0,17.32051288223834,65.97691350539762
2017-01-01 02:20:00,21.0,31.0,17.39661317263459,56.73412198030595
2017-01-01 02:40:00,22.0,32.0,16.56737774587704,56.31806960352514
2017-01-01 03:00:00,22.0,32.0,17.49928480233876,63.81791511845393
2017-01-01 03:20:00,23.0,33.0,17.74718525706427,54.56384712519875
2017-01-01 03:40:00,22.0,32.0,16.81029759285033,52.85107482386258
2017-01-01 04:00:00,21.0,31.0,17.67853134279047,61.20186272759516
2017-01-01 04:20:00,20.0,30.0,17.71195914681239,52.46289746211859
2017-01-01 04:40:00,21.0,31.0,16.88224029771453,52.42478220887991
2017-01-01 05:00:00,21.0,31.0,17.77173361597374,60.05041431395211
2017-01-01 05:20:00,20.0,30.0,17.81782321578656,51.1813754698698
2017-01-01 05:40:00,21.0,31.0,16.98931902952645,51.06698412202606
2017-01-01 06:00:00,22.0,32.0,17.89508581836932,58.66661328388798
2017-01-01 06:20:00,23.0,33.0,17.95464002359314,49.61017846231785
2017-01-01 06:40:00,24.0,34.0,17.14181967393813,49.34597948537764
2017-01-01 07:00:00,23.0,33.0,18.01126007156,56.78724846246815
2017-01-01 07:20:00,23.0,33.0,18.05961152572058,48.06334415701403
2017-01-01 07:40:00,23.0,33.0,17.28093917055044,47.82722439631631
2017-01-01 08:00:00,24.0,34.0,18.14250810157309,54.93472020847681
2017-01-01 08:20:00,25.0,35.0,18.39489480989396,46.11502359613258
2017-01-01 08:40:00,26.0,36.0,17.5371051522186,44.16167995064351
2017-01-01 09:00:00,25.0,35.0,18.374478915346,51.64284740176922
2017-01-01 09:20:00,25.0,35.0,18.63701860205675,43.07629961905308
2017-01-01 09:40:00,25.0,35.0,17.80814513200824,41.02346282615539
2017-01-01 10:00:00,25.0,35.0,18.6309523563839,48.11230179381772
2017-01-01 10:20:00,25.0,35.0,18.9007177618576,39.89377291860963
2017-01-01 10:40:00,26.0,36.0,18.09420046299648,37.86398790409528
2017-01-01 11:00:00,25.0,35.0,18.90034416895383,44.65491627591658
2017-01-01 11:20:00,26.0,36.0,18.99584173801551,36.84757794210564
2017-01-01 11:40:00,26.0,36.0,18.99584173801551,36.84757794210564
2017-01-01 12:00:00,27.0,37.0,19.10163714377484,42.12793462248057
2017-01-01 12:20:00,28.0,38.0,19.21351691480545,34.41094785217237
2017-01-01 12:40:00,29.0,39.0,18.51978925840726,33.62159261539769
2017-01-01 13:00:00,30.0,40.0,19.32217695098377,39.3874288970669
2017-01-01 13:20:00,31.0,41.0,19.37796901633745,32.18966233609893
2017-01-01 13:40:00,32.0,42.0,18.67802479628001,31.92212268892375
2017-01-01 14:00:00,31.0,41.0,19.45511545615478,37.64550313859704
2017-01-01 14:20:00,31.0,41.0,19.52772446677687,30.69966217564979
2017-01-01 14:40:00,31.0,41.0,18.85283579213819,30.30661013106683
2017-01-01 15:00:00,30.0,40.0,19.59601448837949,35.77147166056675
2017-01-01 15:20:00,31.0,41.0,19.63171850449272,29.35207305504113
2017-01-01 15:40:00,32.0,42.0,18.93084756547369,29.28088676684014
2017-01-01 16:00:00,32.0,42.0,19.67002884100702,34.8996308209975
2017-01-01 16:20:00,33.0,43.0,19.72318853674965,28.62360789375978
2017-01-01 16:40:00,34.0,44.0,19.0008874842023,28.50354296437823
2017-01-01 17:00:00,34.0,44.0,19.73771027639851,34.29489867058106
2017-01-01 17:20:00,34.0,44.0,19.91130071695854,28.1395829363445
2017-01-01 17:40:00,35.0,45.0,19.08290234164726,27.35268792818879
2017-01-01 18:00:00,34.0,44.0,19.7563564406067,33.76473939726969
2017-01-01 18:20:00,33.0,43.0,19.75286035599164,28.06687213381265
2017-01-01 18:40:00,34.0,44.0,19.0006273418471,28.3458780076831
2017-01-01 19:00:00,35.0,45.0,19.73054712957501,34.35769931436529
2017-01-01 19:20:00,36.0,46.0,19.74857935639668,28.20682047667273
2017-01-01 19:40:00,37.0,47.0,19.00503630012603,28.36253706200712
2017-01-01 20:00:00,37.0,47.0,19.74644090662039,34.32875208395141
2017-01-01 20:20:00,38.0,48.0,19.90556620754925,28.12025490160735
2017-01-01 20:40:00,39.0,49.0,19.07039108848741,27.47456225578362
2017-01-01 21:00:00,40.0,50.0,19.77633615842441,33.9575175074894
2017-01-01 21:20:00,40.0,50.0,19.91270173180791,27.98728847598917
2017-01-01 21:40:00,40.0,50.0,19.08540925038939,27.44552404040705
2017-01-01 22:00:00,39.0,49.0,19.79662318484843,33.81167133566437
2017-01-01 22:20:00,40.0,50.0,19.80236066116882,27.7680311658056
2017-01-01 22:40:00,39.0,49.0,19.07231624088388,28.0001296307244
2017-01-01 23:00:00,39.0,49.0,19.80340911775661,33.89991375818504
2017-01-01 23:20:00,40.0,50.0,19.95996248913676,27.78336998424953
2017-01-01 23:40:00,40.0,50.0,19.95996248913676,27.78336998424953
